ID,Feature,Screen,State,Variant,Width,Height,TextScale,Keyboard,Fixture,Filename,SHA256,Notes
AHDASH-V10-0081,Settings,40 Settings,Representative,Compact,360,800,1.0,No,TEST-ONLY,26_compact/40_settings_compact_360x800.png,65bdccdafadf08b44b05b223257939f659428b3bdea301c0ceec9baa2206bd61,Exact logical-pixel Flutter render; copied losslessly.
AHDASH-V10-0082,Report,41 Report a Problem,Representative,Compact,360,800,1.0,No,TEST-ONLY,26_compact/41_report_compact_360x800.png,11f4079a2b7c0612ebeabfbc720c6d9c02fd4cf8216d836246c8bd18c1c1388c,Exact logical-pixel Flutter render; copied losslessly.
AHDASH-V10-0083,Football Preferences,42 Football Preferences,Representative,Compact,360,800,1.0,No,TEST-ONLY,26_compact/42_football_preferences_compact_360x800.png,0e5f7a091977571ee51ccbba9eaed71d6bcd67a50ae9a14dfbc1a8fe51dce014,Exact logical-pixel Flutter render; copied losslessly.
AHDASH-V10-0084,Premium,43 Premium,Representative,Compact,360,800,1.0,No,TEST-ONLY,26_compact/43_premium_compact_360x800.png,ace70e1248f8f81b3aa2bf33f8115dca2b17ed66553f62675318c378066c1848,Exact logical-pixel Flutter render; copied losslessly.
AHDASH-V10-0085,Authentication,03 Sign In,Focused field / keyboard open,Keyboard,390,844,1.0,Yes,TEST-ONLY,25_keyboard/03_sign_in_keyboard_390x844.png,8f6907809a0aefbf65ce363018ae170aad199d0510462cd5711b69935759a352,Exact logical-pixel Flutter render; copied losslessly.
AHDASH-V10-0086,Authentication,04 Create Account,Focused field / keyboard open,Keyboard,390,844,1.0,Yes,TEST-ONLY,25_keyboard/04_create_account_keyboard_390x844.png,4a7685cf9ef0576bfc99b445f7c4cf6d2ffd79107bdd7551d062df3cccd5b235,Exact logical-pixel Flutter render; copied losslessly.
AHDASH-V10-0087,Categories,06 Category Selection,Focused field / keyboard open,Keyboard,390,844,1.0,Yes,TEST-ONLY,25_keyboard/06_category_search_keyboard_390x844.png,00eacd5b6d68497019bf45d444e92c8b919484e74156af91ba5ca2258b165b8a,Exact logical-pixel Flutter render; copied losslessly.
AHDASH-V10-0088,Party Setup,08 Team Setup,Focused field / keyboard open,Keyboard,390,844,1.0,Yes,TEST-ONLY,25_keyboard/08_team_setup_keyboard_390x844.png,8e2e8f7059ae5fe817be37e7e340d3179e69e138a0bdf4a1a4f2a07574ee5fce,Exact logical-pixel Flutter render; copied losslessly.
AHDASH-V10-0089,Party Setup,09 Team Splitter,Focused field / keyboard open,Keyboard,390,844,1.0,Yes,TEST-ONLY,25_keyboard/09_team_splitter_keyboard_390x844.png,939cb94aa043e063f5ebc86234460b792a3087d3870856960be615522d887269,Exact logical-pixel Flutter render; copied losslessly.
AHDASH-V10-0090,Tournament,20 Create Tournament,Focused field / keyboard open,Keyboard,390,844,1.0,Yes,TEST-ONLY,25_keyboard/20_create_tournament_keyboard_390x844.png,a5ced0de6603e9f56c60791caf167efa7b71ae9e0c1ce6063f6ebe76f8ada408,Exact logical-pixel Flutter render; copied losslessly.
AHDASH-V10-0091,Friends,35 Friends,Focused field / keyboard open,Keyboard,390,844,1.0,Yes,TEST-ONLY,25_keyboard/35_friends_search_keyboard_390x844.png,34e0382777f69df55227906d37a88ddc378a46c9ea14ca44f2a8514ca3b7cccb,Exact logical-pixel Flutter render; copied losslessly.
AHDASH-V10-0092,Report,41 Report a Problem,Focused field / keyboard open,Keyboard,390,844,1.0,Yes,TEST-ONLY,25_keyboard/41_report_problem_keyboard_390x844.png,ba4611f3ca66ed9f106c7e850707376a26380eb7d4eb5c37de1ec28ddd38c432,Exact logical-pixel Flutter render; copied losslessly.
AHDASH-V10-0093,Football Preferences,42 Football Preferences,Focused field / keyboard open,Keyboard,390,844,1.0,Yes,TEST-ONLY,25_keyboard/42_football_preferences_keyboard_390x844.png,02da1429a3b1068b06e878ce0b6efd8531a4e0aae2300bb93057d8e66c921dab,Exact logical-pixel Flutter render; copied losslessly.
