ID,Feature,Screen,State,Variant,Width,Height,TextScale,Keyboard,Fixture,Filename,SHA256,Notes
AHDASH-V10-0069,Tournament,21 Tournament Teams,Representative,Compact,360,800,1.0,No,TEST-ONLY,26_compact/21_tournament_teams_compact_360x800.png,0c7d3d4d81490445c0afc6fcdb753a1d4a65a70e7933eae0a859b9a01c793bfd,Exact logical-pixel Flutter render; copied losslessly.
AHDASH-V10-0070,Tournament,22 Tournament Draw,Representative,Compact,360,800,1.0,No,TEST-ONLY,26_compact/22_tournament_draw_compact_360x800.png,7f96475aa52331b9dcdbef7694866b43586a4131cd2b0518190b3dd77907c7b6,Exact logical-pixel Flutter render; copied losslessly.
AHDASH-V10-0071,Tournament,23 Tournament Bracket,Representative,Compact,360,800,1.0,No,TEST-ONLY,26_compact/23_tournament_bracket_compact_360x800.png,de699f7fef769732ce991194427d8a46608744eb5a73daa1b0842f8a9ef75387,Exact logical-pixel Flutter render; copied losslessly.
AHDASH-V10-0072,Tournament,26 Tournament Match,Representative,Compact,360,800,1.0,No,TEST-ONLY,26_compact/26_tournament_match_compact_360x800.png,836715a007ce83c44af6254fe03fc526e0350a7275669f4d2b8e8d4071638973,Exact logical-pixel Flutter render; copied losslessly.
AHDASH-V10-0073,Tournament,27 Tournament Champion,Representative,Compact,360,800,1.0,No,TEST-ONLY,26_compact/27_tournament_champion_compact_360x800.png,34b0e35cb6ed4a2ad82f6f31c8c719b76181df14616e67d0f84fb5c3e1e46c38,Exact logical-pixel Flutter render; copied losslessly.
AHDASH-V10-0074,Solo,28 Match Setup,Representative,Compact,360,800,1.0,No,TEST-ONLY,26_compact/28_match_setup_compact_360x800.png,8ecefc82cf3254d0f2faa8470e70d585aacf684532b3b0b04bb61d9b4c54c0d1,Exact logical-pixel Flutter render; copied losslessly.
AHDASH-V10-0075,Solo,29 Solo Setup,Representative,Compact,360,800,1.0,No,TEST-ONLY,26_compact/29_solo_setup_compact_360x800.png,5bbf4e20d205d867967031298c658f95e1bdcf8de016cbd4074337954ee0acdb,Exact logical-pixel Flutter render; copied losslessly.
AHDASH-V10-0076,Team Challenge,33 Team Challenge,Representative,Compact,360,800,1.0,No,TEST-ONLY,26_compact/33_team_challenge_compact_360x800.png,c80c76c5f85b62eb7c4a81f4620dd6b3b4fda1f26000b5eddc49570a9c49e65e,Exact logical-pixel Flutter render; copied losslessly.
AHDASH-V10-0077,Ranking,34 Ranking,Representative,Compact,360,800,1.0,No,TEST-ONLY,26_compact/34_ranking_compact_360x800.png,afc3fc631fc9136ecc2b333e07d81b07f169d60655a8ddb27e463b90aff6e7c3,Exact logical-pixel Flutter render; copied losslessly.
AHDASH-V10-0078,Friends,35 Friends,Representative,Compact,360,800,1.0,No,TEST-ONLY,26_compact/35_friends_compact_360x800.png,1fd9f5e5d32fd2b70ce8ed8475ac5062c480d73976363ec1862dd025576ddcfa,Exact logical-pixel Flutter render; copied losslessly.
